17:50:37.154342 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 36
17:50:37.190795 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 36
17:50:37.191033 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:50:37.204459 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 430
17:50:37.255197 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 853
17:50:37.255573 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:50:37.256937 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 32
17:50:37.257067 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:50:37.320721 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 32
17:50:37.338873 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 192
17:50:37.338879 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.338882 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.357019 IP 65.55.42.180.xbox > 10.0.2.120.xbox: UDP, length 32
17:50:37.415529 IP 10.0.2.120.xbox > 65.55.42.180.xbox: UDP, length 192
17:50:37.415536 IP 10.0.2.120.xbox > 99-48-148-95.lightspeed.kscymo.sbcglobal.net.xbox: UDP, length 82
17:50:37.415540 IP 10.0.2.120.xbox > 99-48-148-95.lightspeed.kscymo.sbcglobal.net.xbox: UDP, length 82
17:50:37.478901 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 122
17:50:37.479164 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.479169 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.544451 IP 99-48-148-95.lightspeed.kscymo.sbcglobal.net.xbox > 10.0.2.120.xbox: UDP, length 122
17:50:37.588679 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:37.592794 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:37.616411 IP 10.0.2.120.xbox > 99-48-148-95.lightspeed.kscymo.sbcglobal.net.xbox: UDP, length 82
17:50:37.616416 IP 10.0.2.120.xbox > 99-48-148-95.lightspeed.kscymo.sbcglobal.net.xbox: UDP, length 82
17:50:37.616420 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.616424 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.714737 IP 99-48-148-95.lightspeed.kscymo.sbcglobal.net.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:37.732680 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:37.736488 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:37.736709 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.736714 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
17:50:37.851465 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:37.854857 IP cpe-098-024-065-153.carolina.res.rr.com.xbox > 10.0.2.120.xbox: UDP, length 43
17:50:37.855012 IP 10.0.2.120.xbox > cpe-098-024-065-153.carolina.res.rr.com.xbox: UDP, length 82
