# 0x4d 72 < 201.42.24.136	0x8d 56 < 201.42.24.136	0x4d 80 > 201.42.24.136	0xc1 30 > 201.42.24.136	0xd 48 < 201.42.24.136	0xcd 40 < 201.42.24.136	0xd 32 > 201.42.24.136	0x4d 144 < 201.42.24.136	0x8d 64 > 201.42.24.136	0xcd 48 < 201.42.24.136	0xc1 38 > 201.42.24.136	0xc1 38 < 201.42.24.136	0xd 88 > 201.42.24.136	0xcd 48 > 201.42.24.136	0x0 24 < 201.42.24.136	0xe1 61 > 201.42.24.136	0x1 28 < 201.42.24.136	0xd 160 > 201.42.24.136	0x41 34 < 201.42.24.136	0xd 64 > 201.42.24.136	0xcd 112 < 201.42.24.136	0x8d 56 > 201.42.24.136	0x4d 72 > 201.42.24.136	0xd 40 < 201.42.24.136	0x41 274 < 201.42.24.136	0x8d 64 < 201.42.24.136	0x61 33 < 201.42.24.136	0x4d 80 < 201.42.24.136	0x61 33 > 201.42.24.136	0xcd 56 > 201.42.24.136	0xc1 30 < 201.42.24.136	0xcd 56 < 201.42.24.136	0x4d 48 < 201.42.24.136	0x1 28 > 201.42.24.136	0xe1 61 < 201.42.24.136	0xcd 40 > 201.42.24.136	0xd 24 < 201.42.24.136	0xd 32 < 201.42.24.136	0x4d 88 > 201.42.24.136
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
