# < 201.42.24.136	> 65.55.42.180	< 65.55.42.180	> 201.42.24.136
3	0	0	3
4	0	0	4
4	0	0	4
5	0	1	6
10	0	0	10
6	0	0	5
0	0	0	0
2	0	0	2
0	0	0	0
2	0	0	2
0	0	0	0
1	0	0	1
1	0	0	1
1	0	0	1
1	0	0	1
0	3	1	1
3	9	6	2
1	0	0	1
22	0	0	38
60	0	0	59
60	0	0	60
60	0	0	60
53	0	0	55
61	0	0	60
60	0	0	60
59	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	59
60	1	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
58	0	0	60
60	0	0	60
60	0	1	60
60	0	0	60
60	0	0	59
60	0	0	61
58	0	0	59
60	0	0	60
60	0	0	60
60	1	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	59
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	1	0	60
60	0	0	60
60	0	0	60
59	0	0	60
61	0	1	60
59	0	0	61
44	0	0	42
59	0	0	60
60	0	0	60
60	0	0	59
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
58	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	59
60	1	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	59
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
59	0	0	60
60	0	0	60
55	0	1	53
56	0	0	57
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	1	0	60
61	0	0	60
59	0	0	60
60	0	0	59
60	0	0	60
59	0	0	60
59	0	0	60
60	0	0	60
60	0	0	60
61	0	0	58
43	0	0	45
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
59	0	0	59
60	0	0	60
60	1	0	60
59	0	0	60
60	0	0	60
60	0	0	60
60	0	1	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	59
60	0	0	60
60	0	0	60
60	0	0	60
60	0	0	60
60	1	0	60
60	0	0	61
12	0	0	2
0	0	0	0
2	0	0	2
0	0	0	0
3	5	3	3
1	6	4	1
1	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	7	5	0
