# 0xd > 187.149.1.219	0xc1 > 187.149.1.219	0xd < 187.149.1.219	0xcd > 187.149.1.219	0x1 > 187.149.1.219	0xcd < 187.149.1.219	0x0 < 187.149.1.219	0x4d > 187.149.1.219	0x8d < 187.149.1.219	0x61 < 187.149.1.219	0x1 < 187.149.1.219	0x61 > 187.149.1.219	0xc1 < 187.149.1.219	0x4d < 187.149.1.219	0x8d > 187.149.1.219
0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0	0	1	0	2	0	0
2	0	1	4	1	0	0	0	0	1	0	1	0	0	0
1	0	1	58	0	1	0	0	6	0	0	0	0	0	1
2	0	0	31	0	1	0	12	60	0	0	1	0	2	9
4	0	0	40	0	6	0	5	43	0	1	0	0	0	11
6	0	2	42	0	6	0	5	47	0	0	0	0	5	7
6	0	0	38	0	3	0	4	65	0	0	0	0	1	12
6	0	0	42	0	3	0	5	48	0	0	0	0	3	7
5	0	1	42	0	4	0	4	49	0	0	0	0	2	9
5	0	0	44	0	1	0	6	58	0	0	0	0	1	5
10	0	0	33	0	5	0	8	68	0	0	0	0	1	9
4	0	3	39	0	6	0	8	45	0	0	0	0	3	8
4	0	0	45	0	1	0	3	43	0	0	0	0	1	8
6	0	0	42	0	2	0	4	57	0	0	0	0	1	8
6	0	1	37	0	2	0	1	52	0	0	0	0	1	16
1	0	0	43	0	1	0	7	64	0	0	0	0	1	9
3	0	3	43	0	5	0	8	49	0	0	0	0	2	6
5	0	0	41	0	0	0	7	51	0	0	0	0	0	7
3	0	0	37	0	1	0	5	57	0	0	0	0	1	15
7	0	2	37	0	3	0	4	66	0	0	0	0	2	12
4	0	1	39	0	2	0	7	42	0	0	0	0	0	10
5	0	0	40	0	1	0	6	54	0	0	0	0	1	9
6	0	0	41	0	4	0	6	56	0	0	0	0	1	7
5	0	0	39	0	3	0	8	69	0	0	0	0	3	8
4	0	0	44	0	1	0	5	50	0	0	0	0	1	7
4	0	2	46	0	3	0	7	50	0	0	0	0	1	2
8	0	0	42	0	2	0	4	49	0	0	0	0	2	7
7	0	0	32	0	2	0	9	71	0	0	0	0	2	11
5	0	0	44	0	3	0	5	43	0	0	0	0	3	6
4	0	0	40	0	3	0	6	54	0	0	0	0	2	11
7	0	0	41	0	4	0	3	54	0	0	0	0	3	8
2	0	0	46	0	1	0	6	58	0	0	0	0	1	6
5	0	2	46	0	3	0	5	51	0	0	0	0	1	4
2	0	0	45	0	0	0	2	63	0	0	0	0	0	11
5	0	0	40	0	4	0	4	55	0	0	0	0	0	11
5	0	2	44	0	5	0	8	51	0	0	0	0	3	3
4	0	0	42	0	1	0	10	56	0	0	0	0	1	4
3	0	0	44	0	2	0	6	61	0	0	0	0	2	7
6	0	2	42	0	3	0	3	56	0	0	0	0	1	9
2	0	0	43	0	1	0	7	47	0	0	0	0	1	8
9	0	0	40	0	3	0	7	51	0	0	0	0	3	4
7	0	1	39	0	3	0	4	57	0	0	0	0	1	10
8	0	2	39	0	9	0	2	56	0	0	0	0	4	11
6	0	0	41	0	2	0	4	44	0	0	0	0	2	8
3	0	0	42	0	0	0	6	58	0	0	0	0	0	10
7	0	2	38	0	5	0	7	51	0	0	0	0	4	7
4	0	0	44	0	0	0	5	50	0	0	0	0	0	7
5	0	1	37	0	4	0	6	60	0	0	0	0	2	12
5	0	2	40	0	3	0	7	50	0	0	0	0	2	8
7	0	0	34	0	0	0	10	67	0	0	0	0	0	9
3	0	0	40	0	3	0	6	52	0	0	0	0	3	11
3	0	2	39	0	4	0	10	49	0	0	0	0	3	8
5	0	0	41	0	3	0	5	65	0	0	0	0	3	9
3	0	0	38	0	2	0	5	44	0	0	0	0	2	14
5	0	2	45	0	2	0	4	54	0	0	0	0	0	6
3	0	0	45	0	1	0	3	58	0	0	0	0	1	9
6	0	1	41	0	9	0	7	46	0	0	0	0	7	6
8	0	2	38	0	3	0	6	54	0	0	0	0	2	8
4	0	0	38	0	2	0	6	55	0	0	0	0	2	12
7	0	0	36	0	6	0	5	48	0	0	0	0	2	11
3	0	0	24	0	0	1	9	46	0	0	0	0	1	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
