# > 187.149.1.219	> 65.55.42.180	< 65.55.42.180	< 187.149.1.219
2	0	0	1
0	1	0	1
2	0	0	1
0	0	0	1
2	0	0	1
1	5	3	1
1	6	4	2
1	0	0	0
2	0	0	3
8	0	0	2
60	0	0	8
55	0	0	63
60	0	0	50
60	0	0	60
60	0	0	69
60	0	0	54
60	0	0	56
60	0	0	60
60	0	1	74
59	0	0	57
60	0	0	45
60	1	0	60
60	0	0	56
60	0	0	66
60	0	0	59
60	0	0	51
60	0	0	59
60	0	0	73
60	0	0	45
60	0	0	56
60	0	0	61
60	0	0	75
60	0	0	52
59	0	0	56
61	0	0	53
59	0	0	75
60	0	0	49
61	0	0	59
59	0	0	61
60	0	0	60
60	0	0	57
60	1	0	63
60	0	0	59
60	0	0	61
60	0	0	58
60	0	0	65
60	0	0	62
60	0	0	49
60	0	1	57
60	0	0	62
60	0	0	71
59	0	0	48
61	0	0	58
59	0	0	62
60	0	0	50
60	0	0	67
60	0	0	57
60	0	0	67
60	0	0	58
60	0	0	58
60	0	0	71
60	1	0	48
60	0	0	58
60	0	0	60
60	0	0	63
60	0	0	61
60	0	0	59
59	0	0	56
47	1	1	48
0	6	4	0
