# 0xd < 71.98.130.229	0xd > 71.98.130.229	0xc1 > 71.98.130.229	0xcd > 71.98.130.229	0xc1 < 71.98.130.229	0x1 < 71.98.130.229	0x61 < 71.98.130.229	0x1 > 71.98.130.229	0x61 > 71.98.130.229	0x4d < 71.98.130.229	0x4d > 71.98.130.229	0x41 < 71.98.130.229	0xcd < 71.98.130.229	0x8d > 71.98.130.229	0x8d < 71.98.130.229
0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	1	1	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	1	1	0	1	0	0	0	0	0	0	0
0	0	1	0	1	1	0	1	0	0	0	0	0	0	0
1	2	0	9	0	1	1	1	1	2	0	0	6	9	3
0	0	0	3	0	0	0	0	0	1	0	0	2	57	57
0	0	0	0	0	0	0	0	0	1	0	0	2	60	57
1	0	0	6	0	0	0	0	0	0	0	0	1	50	52
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	59
0	0	0	0	0	0	0	0	0	0	0	0	0	59	60
0	0	0	1	0	0	0	0	0	1	0	0	2	59	56
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
1	1	0	4	0	0	0	0	0	2	1	0	4	54	52
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
1	1	0	6	0	0	0	0	0	0	3	0	3	50	55
0	0	0	1	0	0	0	0	0	1	0	0	1	59	57
0	0	0	1	0	0	0	0	0	0	1	0	0	58	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	1	0	0	0	0	0	0	0	0	2	59	57
0	0	0	0	0	0	0	0	0	0	0	0	3	60	57
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	59	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	59
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	1	0	0	0	0	0	0	0	0	3	59	56
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	1	60	59
0	0	0	0	0	0	0	0	0	0	0	0	1	60	59
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	1	0	0	0	0	0	0	0	0	1	59	58
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
1	1	0	14	0	2	2	2	2	3	5	0	12	19	23
0	0	0	0	0	0	0	0	0	1	0	0	1	60	58
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	2	60	58
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	1	59	58
0	0	0	0	0	0	0	0	0	1	0	0	2	60	57
0	0	0	1	0	0	0	0	0	0	0	0	0	59	59
0	0	0	0	0	0	0	0	0	0	0	0	2	60	58
0	0	0	1	0	0	0	0	0	1	0	0	2	59	56
0	0	0	0	0	0	0	0	0	0	0	0	1	60	59
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	1	60	59
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	1	0	0	0	0	0	1	0	0	1	59	57
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	0	60	60
0	0	0	0	0	0	0	0	0	0	0	0	1	59	58
0	0	0	0	0	0	0	0	0	0	0	0	1	60	59
0	0	1	0	0	1	0	0	0	0	0	0	0	60	60
1	1	0	3	0	1	1	2	1	0	0	1	4	41	44
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	1	1	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	1	1	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
