# < 71.98.130.229	> 65.55.42.180	> 71.98.130.229	< 65.55.42.180
1	0	1	0
1	0	1	0
1	0	1	0
1	1	1	0
0	0	0	0
2	0	2	0
0	0	0	0
2	0	2	0
2	0	2	0
14	0	22	0
60	0	60	0
60	0	60	0
54	0	56	0
60	0	60	0
59	0	60	0
60	0	59	0
59	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
59	0	60	0
60	0	60	1
60	0	60	0
59	1	60	0
59	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
59	0	60	0
60	0	60	0
60	0	60	0
60	0	59	0
59	0	60	0
60	0	60	0
59	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
59	0	60	0
60	0	60	0
43	1	43	0
60	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
59	0	59	0
60	0	60	0
59	0	60	0
60	0	60	1
59	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
60	0	60	0
59	0	60	0
60	0	60	0
60	1	60	0
60	0	60	0
59	0	59	0
60	0	60	0
61	0	61	0
52	6	48	4
0	0	0	0
2	0	2	0
0	0	0	0
2	0	2	0
0	0	0	0
1	0	1	0
1	0	1	0
0	0	1	0
2	0	1	0
0	0	1	0
2	0	1	0
1	0	2	0
