# offset=-2	offset=-3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
23580	7388
0	0
53321	18940
0	0
4488	35011
0	0
62278	18030
0	0
29619	45940
0	0
22008	63582
0	0
15508	38067
0	0
0	0
33757	56585
121	31059
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
61833	35134
0	0
56141	19901
0	0
57752	39063
0	0
45959	34749
0	0
22483	54028
0	0
45425	28943
14209	33234
0	0
12140	27710
0	0
53501	64808
0	0
2791	59298
0	0
0	0
20286	15888
30023	18235
0	0
52831	24381
0	0
26536	43227
0	0
7857	45490
0	0
27854	52865
0	0
58757	34072
0	0
56407	22273
0	0
37679	12227
0	0
0	0
21924	42166
22299	6964
0	0
8280	22726
0	0
59996	23600
0	0
31765	5487
0	0
0	0
10723	58131
41067	27481
0	0
6448	12509
0	0
0	0
17876	54439
32135	34727
0	0
34948	33957
0	0
57149	15654
0	0
38294	38400
0	0
33280	207
0	0
58082	57893
0	0
0	0
59585	49648
23828	5330
0	0
3099	6997
0	0
0	0
20975	61245
62032	20717
0	0
0	0
12838	9821
0	0
44060	7267
0	0
27898	64106
20147	45930
0	0
39797	30078
0	0
0	0
31630	36392
0	0
58812	48163
55061	5579
0	0
54792	2101
0	0
0	0
45009	53511
0	0
2872	14352
43531	3026
0	0
0	0
5531	39752
0	0
28137	59686
40746	10877
0	0
39167	65340
0	0
59490	25332
0	0
45622	14035
0	0
10790	9938
0	0
53882	31349
0	0
995	58341
0	0
0	0
47271	42970
61794	25160
0	0
58863	61303
0	0
56421	25920
0	0
25055	57126
0	0
0	0
50392	55362
6372	58552
0	0
25068	60416
0	0
4731	31673
0	0
32863	24552
0	0
2136	22579
0	0
31287	14137
0	0
42931	45840
0	0
42915	41825
0	0
0	0
30348	35846
2324	5219
0	0
59718	18152
0	0
61477	9695
0	0
6609	53709
0	0
65480	51292
0	0
22155	35787
0	0
49246	24251
0	0
28142	61163
0	0
21715	54211
0	0
50328	39025
0	0
54064	12291
0	0
41836	27661
0	0
36813	52710
0	0
61903	53162
0	0
7544	30725
0	0
12166	34511
0	0
54273	449
0	0
35674	23040
0	0
22946	41702
0	0
25529	47377
0	0
0	0
24542	56982
0	0
32662	38566
11887	28562
0	0
61691	64364
0	0
17330	45806
0	0
31427	50042
0	0
38766	28191
0	0
5114	64003
0	0
0	0
4515	41845
52352	32870
0	0
41343	32644
0	0
60809	35173
0	0
0	0
